id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
316,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,6,LACHHMIPUR,LAXMIPUR,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544469)
317,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,7,NAUGAWAN,NAVGAWA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544470)
318,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,8,SABIYA KHURD,CHARGANHA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544471)
319,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,9,SABIYA KHURD,JAYAHTI GOAM,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544472)
320,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,10,SABIYA KHURD,KHAIRWADIH,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544473)
321,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,11,SABIYA KHURD,SABYA KURD,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971151)
322,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,12,SABIYA KHURD,SEMAHBARI,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544474)
323,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,13,TOLA GOITA,DAKHINWARIA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544475)
324,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,14,TOLA GOITA,TOLA GOTIA,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971153)
325,Pashchim Champaran,Chanpatiya,MAJHAULIA,DHOKRA,1,DUDHA,DUDHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545614)
326,Pashchim Champaran,Chanpatiya,MAJHAULIA,DHOKRA,2,DUDHA,NONIYA TOLI,Deep tubewell,Ground Water,Noniya Basti,HandPump,Majhauliya Scheme(0007065609)
