S. No.,State,District,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit +ACY- (6.5 +ADw- pH +AD4- 8.5) (Mandatory+ACo-),Below Permissible Limit (Mandatory+ACo-),Above Permissible Limit (Emerging / Other+ACoAKg-),Below Permissible Limit (Emerging / Other+ACoAKg-)
41,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR CHAUK / SC3624243,Shallow Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-415.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
42,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR CHAUK / SC3624243,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.14 Mg/l+AF0-,Fluoride+AFs-0.82 Mg/l+AF0-,pH+AFs-7.27 PH+AF0-,TDS+AFs-338.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
43,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR RAOD / SC40577,Deep Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.66 Mg/l+AF0-,pH+AFs-6.93 PH+AF0-,TDS+AFs-366.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
44,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR RAOD / SC40577,Deep Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.21 Mg/l+AF0-,Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.29 PH+AF0-,TDS+AFs-412.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
45,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,NEAR CHAURAHA / SC1756134,Shallow Tubewell,SAHARSA,20/05/2015,Iron+AFs-1.28 Mg/l+AF0-,+ACI-Fluoride+AFs-0.89 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-558.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
46,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,NEAR CHAURAHA / SC1756134,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.86 Mg/l+AF0-,pH+AFs-7.27 PH+AF0-,TDS+AFs-369.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
47,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,+ACI-NEAR DR. SAMSHER, RANI SATI CHOUQUE / SC3376234+ACI-,Shallow Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.99 Mg/l+AF0-,pH+AFs-7.20 PH+AF0-,TDS+AFs-556.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
48,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,+ACI-NEAR DR. SAMSHER, RANI SATI CHOUQUE / SC3376234+ACI-,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.18 Mg/l+AF0-,Fluoride+AFs-0.58 Mg/l+AF0-,pH+AFs-7.17 PH+AF0-,TDS+AFs-389.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
49,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,+ACI-NEAR SURESH SADA, P.+AC0- BABUAN SADA / SC3376256+ACI-,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.84 Mg/l+AF0-,pH+AFs-7.09 PH+AF0-,TDS+AFs-399.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
50,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,+ACI-NEAR SURESH SADA, P.+AC0- BABUAN SADA / SC3376256+ACI-,Shallow Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.88 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-458.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
51,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,NEAR ROAD / SC44219,Deep Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.21 Mg/l+AF0-,Fluoride+AFs-0.88 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-415.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
52,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,NEAR ROAD / SC44219,Deep Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.89 Mg/l+AF0-,pH+AFs-7.36 PH+AF0-,TDS+AFs-336.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
53,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,SHISHA MUSAHRI / SC4600364,Shallow Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.25 Mg/l+AF0-,Fluoride+AFs-0.88 Mg/l+AF0-,pH+AFs-7.25 PH+AF0-,TDS+AFs-445.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
54,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,SHISHA MUSAHRI / SC4600364,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.26 PH+AF0-,TDS+AFs-399.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
55,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,NEAR CHAUK / SC46453,Deep Tubewell,SAHARSA,20/05/2015,Iron+AFs-1.29 Mg/l+AF0-,+ACI-Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-412.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
56,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SHISHA MUSHAHRI,NEAR CHAUK / SC46453,Deep Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.18 Mg/l+AF0-,Fluoride+AFs-0.95 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-347.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
57,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,SONBARSA,Near Sonbarsa Block / H1923594,Delivery Point,SAHARSA,20/05/2015,Iron+AFs-1.29 Mg/l+AF0-,+ACI-Fluoride+AFs-0.73 Mg/l+AF0-,pH+AFs-7.25 PH+AF0-,TDS+AFs-524.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
