id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
64,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,21,AUNHAR SHEKH,DUSADH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545548)
65,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,22,AUNHAR SHEKH,INDRA NAGAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545549)
66,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,23,AUNHAR SHEKH,SUKHLAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545550)
67,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,24,AUNHAR SHEKH,TURHA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545551)
68,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,25,KUNRIA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545552)
69,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,26,KUNRIA,KUDIA,Shallow tubewell,Ground Water,Turha Toli Brhma Sthan,HandPump,Majhauliya MMCY Scheme(0006500782)
70,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,27,KUNRIA,KUDIA,Shallow tubewell,Ground Water,Khajurani Tola Madan Patel,HandPump,Majhauliya MMCY Scheme(0006500782)
71,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,28,KUNRIA,KUDIA,Shallow tubewell,Ground Water,Mohan Prasad,HandPump,Majhauliya MMCY Scheme(0006500782)
72,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,29,KUNRIA,KUDIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545553)
73,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,30,KUNRIA,MUSHHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545554)
74,Pashchim Champaran,Bettiah,MAJHAULIA,GUDRA,1,GUDRA,BIN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545632)
75,Pashchim Champaran,Bettiah,MAJHAULIA,GUDRA,2,GUDRA,GONR TOLA,Deep tubewell,Ground Water,Near Gorn Basti,HandPump,Majhauliya Scheme(0007065609)
76,Pashchim Champaran,Bettiah,MAJHAULIA,GUDRA,3,GUDRA,GONR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545633)
77,Pashchim Champaran,Bettiah,MAJHAULIA,GUDRA,4,GUDRA,GUDRA,Shallow tubewell,Ground Water,,HandPump,Majhauliya Scheme(0001958087)
78,Pashchim Champaran,Bettiah,MAJHAULIA,GUDRA,5,GUDRA,GUDRA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006550894)
79,Pashchim Champaran,Bettiah,MAJHAULIA,GUDRA,6,GUDRA,GUDRA,Deep tubewell,Ground Water,NEAR MASJID,HandPump,MAJHAULIYA SCHEME(0006550894)
80,Pashchim Champaran,Bettiah,MAJHAULIA,GUDRA,7,GUDRA,KAHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545634)
81,Pashchim Champaran,Bettiah,MAJHAULIA,GUDRA,8,GUDRA,LALA TOLA,Deep tubewell,Ground Water,Near Lala Tola,HandPump,Majhauliya Scheme(0007065609)
82,Pashchim Champaran,Bettiah,MAJHAULIA,GUDRA,9,GUDRA,LALA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545635)
83,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,1,RAMNAGAR BANKAT,BAGHI BANKAT,Shallow tubewell,Ground Water,Mohan Thakur,HandPump,Majhauliya MMCY Scheme(0006500720)
84,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,2,RAMNAGAR BANKAT,BAGHI BANKAT,Deep tubewell,Ground Water,Near Baghi Tola,HandPump,Majhauliya Scheme(0007065609)
85,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,3,RAMNAGAR BANKAT,BAGHI BANKAT,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545722)
